region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,year,month,day,time_of_day,cost_per_impression,cost_per_click,reach_per_spend,value_ratio
North,Social Media,Stationery,Standard,5.04,0.21,0.0873,67.0,1307,0.0359,1.6,1.0,21.0,116.81,2011,3,30,afternoon,0.0038561591430757,0.1074139037068452,13.293650793650794,556.2380952380953
North,Social Media,General,Premium,59.8,14.95,0.1144,264.0,11571,0.0692,6.72,-1.0,30.0,9243.22,2011,6,23,afternoon,0.0051680926454066,0.0746834197313095,4.414715719063546,618.275585284281
North,Influencer,Lighting,Premium,27.0,6.75,0.1369,174.0,1711,0.3197,3.25,1.3660254037844386,7.0,339.77,2010,1,28,afternoon,0.015780245470485,0.0493595416655774,6.444444444444445,50.3362962962963
North,Social Media,General,Premium,4.95,4.95,0.3252,42.0,1052,0.0706,2.11,0.3660254037844379,7.0,64845.05,2011,11,16,morning,0.0047053231939163,0.066647637307597,8.484848484848484,13100.0101010101
North,Affiliate,General,Premium,17.4,1.45,0.1695,406.0,6614,0.0154,4.59,-1.0,90.0,2668.7000000000003,2010,6,28,morning,0.0026307831871787,0.1708300770895267,23.333333333333336,1840.48275862069
North,Search,Seasonal,Premium,17.85,5.95,0.2291,661.0,17324,0.0433,5.39,-1.0,21.0,482.95,2010,6,13,morning,0.0010303625028861,0.0237959007594958,37.03081232492997,81.16806722689076
North,Social Media,Seasonal,Premium,16.5,8.25,0.3284,516.0,8784,0.1643,5.9,0.3660254037844379,14.0,3978.79,2011,11,1,afternoon,0.0018784153005464,0.0114328381043606,31.272727272727277,482.2775757575757
North,Social Media,Stationery,Premium,15.6,1.95,0.4092,184.0,4400,0.0015,6.43,0.9999999999999998,90.0,483.9,2009,12,15,afternoon,0.0035454545454545,2.3636363636363638,11.794871794871796,248.15384615384616
North,Influencer,Storage,Premium,5.85,1.95,0.1216,456.0,30903,0.0174,4.7,-1.3660254037844386,60.0,11442.74,2011,7,14,afternoon,0.0001893020095136,0.0108794258341172,77.94871794871796,5868.071794871795
North,Affiliate,Storage,Budget,14.85,4.95,0.1744,334.0,8886,0.1188,4.11,0.3660254037844379,28.0,60.85,2010,11,7,afternoon,0.0016711681296421,0.0140670717983344,22.49158249158249,12.292929292929292
North,Search,General,Premium,2.5,1.25,0.3439,200.0,3576,0.0435,3.36,-1.0,7.0,1781.44,2010,6,18,afternoon,0.0006991051454138,0.0160713826531924,80.0,1425.152
